Binomial,Sex,VolumeUVS,VolumeVS,LociUVS,LociVS,MidpointLat,Temp,Precip,NPP,SolarRad,UVB,BodyMass,Dichro,ForestDep,FruitNect,Migratory,GroundNest,Territorial,CoexistSpp,MatingSys
Aegithalos_iouschistos,F,0.000625359,0.000527652,88.61967913,76.96968504,34.71412026,79.42129279,1032.795336,5902.874236,177313.1002,5491.163905,88.28972193,0,1,0,0,0,1,231.6505376,NA
Aegithalos_leucogenys,M,0.00070211,0.000596272,73.55287971,58.82722604,40.22774652,103.2599402,446.7337192,1403.98867,209322.2882,4486.751006,79.81922854,0,1,0,0,0,1,92.77586207,NA
Aegithalos_leucogenys,F,0.000500596,0.00042216,67.18357615,56.61856741,40.22774652,103.2599402,446.7337192,1403.98867,209322.2882,4486.751006,79.81922854,0,1,0,0,0,1,92.77586207,NA
Aegithina_lafresnayei,M,0.001845622,0.00160632,169.1603347,155.3583108,18.59474159,251.4493885,1974.186035,7309.512555,214125.1456,4943.341791,303.0873071,1,1,0,0,0,1,151.6169951,NA
Aegithina_lafresnayei,F,0.00131753,0.000807926,146.2203622,123.6898248,18.59474159,251.4493885,1974.186035,7309.512555,214125.1456,4943.341791,303.0873071,1,1,0,0,0,1,151.6169951,NA
Aegithina_nigrolutea,M,0.002219969,0.001879594,170.9231441,154.3152031,29.17182131,255.9621307,900.2225067,2156.785935,232999.9881,4626.680606,295.5552499,1,0,0,0,0,1,77.28169014,NA
Aegithina_nigrolutea,F,0.001235038,0.000917389,116.2602905,107.1241462,29.17182131,255.9621307,900.2225067,2156.785935,232999.9881,4626.680606,295.5552499,1,0,0,0,0,1,77.28169014,NA
Aegithina_tiphia,M,0.003391495,0.002392025,137.0892913,125.4996534,17.84062751,251.6021744,1867.52839,6579.702916,216912.8804,4958.296818,305.426454,0.8,1,0,0,0,1,127.8311774,NA
Aegithina_tiphia,F,0.003818061,0.002653782,157.7864176,137.172532,17.84062751,251.6021744,1867.52839,6579.702916,216912.8804,4958.296818,305.426454,0.8,1,0,0,0,1,127.8311774,NA
Aegithina_viridissima,M,0.002182793,0.001415949,142.2083169,117.2403562,1.842909482,259.0246439,2797.226416,8753.52327,199784.1728,5456.047707,393.7809542,0,1,0,0,0,1,140.6794521,NA
Aegithina_viridissima,F,0.00138442,0.000893394,141.7695794,117.8178747,1.842909482,259.0246439,2797.226416,8753.52327,199784.1728,5456.047707,393.7809542,0,1,0,0,0,1,140.6794521,NA
Aethopyga_bella,M,0.00769871,0.006899698,242.3110087,237.2903561,14.53162583,261.2717214,2604.263974,9519.954867,195500.1504,5157.767982,24.33853094,1.8,1,1,0,0,1,75.62068966,NA
Aethopyga_bella,F,0.001288488,0.001229649,128.9883716,110.8377192,14.53162583,261.2717214,2604.263974,9519.954867,195500.1504,5157.767982,24.33853094,1.8,1,1,0,0,1,75.62068966,NA
