id,lat,lon,perc_forest
746,-31.9501,115.8167,1.44444444444444
747,-45.204296,167.831268,39
748,-36.3737,174.8447,87.8
749,-46.5605,169.4704,57.2
750,-38.0408,175.5704,100
751,-42.525,172.835,71.1818181818182
752,-27.673,32.252,23.1111111111111
753,-12.45,31.289,59
754,-32.9216,23.486,0
755,-33.2178,26.3966,5.25
756,-23.610803,16.246368,0
757,-33.0669,18.0476,17.4285714285714
758,8.92,40.043,0
759,4.8633,39.3085,9.22222222222222
760,8.898257,40.058013,0
761,12.3997,-12.3122,24.8888888888889
762,-12.45,31.289,59
763,-12.276,31.516,79
764,-12.45,31.289,59
765,-1.3677,36.7396,26.875
766,6.1782,-10.4846,55.25
767,4.9045,-2.056,10.25
768,-28.892887,31.449381,87.2222222222222
769,-13.1834,31.7501,22.4444444444444
770,5.387,-4.0533,100
771,-12.554,30.295,56.25
772,13.6668472,100.539250974151,0
773,11.3473,107.1501,35.8888888888889
774,3.338,101.241,99
775,1.4467,103.7301,54.7777777777778
776,-9.644,119.685,88
777,8.898257,40.058013,0
778,9.4486,40.3683,0
779,4.864,39.312,1.75
780,-3.3025,39.8815,63.1428571428572
781,9.9381,-4.6455,25.5
782,8.3052,34.5812,22
